target_sent,context_len_uninterr,PPL_base,PPL_w_context_uninterr
0,0,0,0
"<|endoftext|>1 source of conflict or tension,"" she says.",708,296.0970153808594,25.610095977783203
<|endoftext|>Other predictors of divorce are more contextual than personal.,716,557.9270629882812,103.01197052001953
"<|endoftext|>Stress, for example, can cause even the strongest relationships to crumble, psychologists' research finds.",733,183.0360107421875,49.31421661376953
"<|endoftext|>In one 2012 study, graduate student April Buck, PhD, and social psychologist Lisa Neff, PhD, from the University of Texas at Austin, evaluated diaries of 165 newlywed couples.",766,280.1781311035156,57.9056282043457
"<|endoftext|>Every day for 14 days, each participant responded to prompts about stressful circumstances (such as getting stuck in traffic), the energy expended to handle those stressors, their positive and negative interactions with partners, and their levels of satisfaction with their relationships.",812,108.20701599121094,59.61491775512695
"<|endoftext|>Not surprisingly, the researchers found that on the most stressful days, spouses reported more negative behaviors toward their partners and less satisfaction with their relationships.",838,149.6670684814453,18.925249099731445
"<|endoftext|>The psychologists posit that the energy dedicated toward handling stressful events detracts from the energy needed to maintain a good relationship (, 2012).",862,222.79762268066406,72.48713684082031
"<|endoftext|>Couples who rarely get a chance to restore their ""reserves,"" such as those from low-income communities, can be particularly prone to marital dissatisfaction and divorce.",892,139.60267639160156,45.56022644042969
"<|endoftext|>In one study using data from about 4,500 respondents to the Florida Family Formation Survey, social psychologist Benjamin Karney, PhD, of the University of California, Los Angeles, and colleagues found that the marriages of lower-income couples were more likely to be hurt by stressful life events and mental health problems than the marriages of the more affluent couples.",959,72.5873031616211,19.162540435791016
"<|endoftext|>Analysis of the same data set found that all respondents — regardless of income level — reported similar problems within their relationships, such as wanting more affection and struggling to communicate effectively with their partners.",994,133.28585815429688,27.6174373626709
"<|endoftext|>Lower-income groups, however, experienced more problems related to economic and social issues such as drinking or drug abuse (, 2012).",1019,136.7925567626953,16.259761810302734
"<|endoftext|>""[Low-income couples] don't say, ‘If only we had more skills training and better communication,'"" says Karney.",1024,243.67544555664062,31.271169662475586
"<|endoftext|>""What they say is, ‘If only we had better jobs, more money, more health care, more child care, more time to spend together.'""",1024,81.70858764648438,12.037240028381348
<|endoftext|>He points to his work with military couples as an example of how strong social support can buffer against the type of chronic stress that can be toxic to a relationship.,1024,111.90100860595703,45.98881912231445
"<|endoftext|>His team's study found that military personnel are much more likely than civilians to be married and not as likely to be divorced compared with civilians of similar ages, races, employment statuses and education levels (, 2012).",1024,83.21504974365234,33.22145080566406
"<|endoftext|>""There's a lot of stress if you're [part of] a military family, but at the same time, there are lots of things that the military is doing to try to protect you from that stress, to try to make it better,"" says Karney.",1024,33.27656555175781,11.775716781616211
"<|endoftext|>That includes providing health care, child care and allowances for housing and children.",1024,150.3755645751953,48.02888488769531
"<|endoftext|>""It appears that those things are paying off.""",1024,216.67869567871094,30.22369956970215
<|endoftext|>Another predictor of divorce seems to be how a couple fares — and feels — even before they tie the knot.,1024,392.9091796875,134.30337524414062
"<|endoftext|>One 2012 study of 232 newlyweds by researchers at UCLA, including Karney and led by doctoral student Justin Lavner, found that women who had reported premarital ""cold feet"" were more than two times as likely to be divorced four years later than couples in which the woman hadn't experienced doubts.",1024,152.10716247558594,65.82447814941406
"<|endoftext|>Men's feet, on the other hand, did not have such predictive powers — they were more likely to be cold in the first place (Journal of Family Psychology, 2012).",1024,64.39222717285156,29.84050178527832
<|endoftext|>Another study by the same team showed that marital trouble is also often evident soon after the vows.,1024,333.2446594238281,86.56421661376953
"<|endoftext|>The researchers found that couples whose relationship satisfaction declined during the first four years of marriage were most often those who had reported less satisfaction to begin with (, 2012).",1024,219.99656677246094,46.43256378173828
<|endoftext|>Orbuch's analysis suggests the trajectory from bad to worse is likely to continue throughout the marriage and eventually to lead to divorce.,1024,134.39671325683594,30.705581665039062
"<|endoftext|>By looking at how the Early Years of Marriage Project participants rated their marital happiness over time, she and her colleagues found couples tended to fit into two groups: those whose happiness started high and stayed that way, and those whose contentment started medium or low and got worse (Research in Human Development, 2012).",1024,160.95391845703125,50.06296920776367
"<|endoftext|>Still, many happy honeymooners go on to divorce years later.",1024,191.14224243164062,54.655818939208984
"<|endoftext|>Fortunately, psychologists are finding that many ways to strengthen a relationship's odds of survival are surprisingly simple.",1024,271.5416564941406,56.536224365234375
"<|endoftext|>""You don't have to buy that $10,000 trip"" to keep your partner satisfied, says Orbuch.",1024,101.30941009521484,31.862022399902344
<|endoftext|>What does work?,1024,487.5400695800781,127.47136688232422
<|endoftext|>According to the latest research:,1024,128.11907958984375,29.936033248901367
<|endoftext|>Know that a little goes a long way.,1024,146.45687866210938,91.065673828125
"<|endoftext|>In the Early Years of Marriage Project, Orbuch found that three-fourths of the happy couples reported that their spouses made them feel cared for or special often, while less than half of the unhappy couples reported the same.",1024,105.29751586914062,23.77173614501953
"<|endoftext|>""Doing or saying small things frequently to make your partner feel special, cared for and loved … is very predictive of staying together, being happy and [preventing] divorce,"" she says.",1024,344.62811279296875,77.99897766113281
"<|endoftext|>These ""positive affirmations"" can be as simple as tucking a nice note in a spouse's wallet or giving a shoulder rub after a long day at work, she adds.",1024,225.37347412109375,87.63644409179688
"<|endoftext|>Men seem to need these affirmations most, Orbuch's analysis suggests.",1024,802.1976318359375,148.676513671875
<|endoftext|>Men who didn't feel affirmed by their wives were twice as likely to divorce as those did.,1024,226.93064880371094,31.86863136291504
<|endoftext|>The same effect didn't hold true for women.,1024,151.85366821289062,44.44112777709961
<|endoftext|>Orbuch postulates that's because women are more likely to receive such affirmations from others — a hug from a friend or a compliment from a stranger in line at the deli.,1024,239.4403533935547,82.09291076660156
"<|endoftext|>""Men don't get it from other people in their lives so they especially need it from their female partners or wives,"" she says.",1024,85.78933715820312,26.583160400390625
<|endoftext|>Fight nice.,1024,4111.9609375,20082.71484375
"<|endoftext|>John Gottman, PhD, founder of the Gottman Institute and the University of Washington's Love Lab, says that 69 percent of marital conflict never gets resolved.",1024,113.60597229003906,41.22063064575195
<|endoftext|>But research shows it's how couples handle those inevitable sore spots that matters.,1024,2054.009765625,506.51422119140625
"<|endoftext|>""The people who have stable, happy relationships are much gentler with one another than people who have unhappy relationships or break up,"" says Gottman, who's known for his ability to predict which newlyweds will divorce with more than 90 percent accuracy by observing how they communicate (, 1992).",1024,116.43183898925781,42.863059997558594
"<|endoftext|>""They're kinder, they're more considerate, they soften the way they raise a complaint.""",1024,133.62950134277344,68.25410461425781
"<|endoftext|>More recently, UCLA's Lavner led another study reevaluating how a couple's fighting style affected their marriages.",1024,474.7977600097656,86.0735855102539
<|endoftext|>He looked at data from 136 couples over the 10 years since their weddings.,1024,459.8988952636719,54.440467834472656
"<|endoftext|>After a decade, the most striking difference between the couples who had divorced and the ones who stayed together was how they had handled conflict during their first year of marriage.",1024,53.75688934326172,15.126263618469238
<|endoftext|>The couples who as newlyweds had interacted with anger and pessimism when discussing difficult relationship issues were more likely to be divorced 10 years later.,1024,234.12393188476562,83.68882751464844
"<|endoftext|>Couples' communication patterns proved to be more predictive of divorce than their reported levels of commitment, personality assessments and stress (, 2012).",1024,474.88201904296875,57.6242561340332
"<|endoftext|>In the Early Years of Marriage Project, Orbuch also found that good communication set the happiest of couples apart from the less blissful.",1024,439.61541748046875,106.21617126464844
"<|endoftext|>Partners who reported patterns of destructive behavior when dealing with conflict in the first year of marriage, for example, were more likely to divorce years later (, 2010).",1024,81.20265197753906,15.767483711242676
<|endoftext|>Talk about more than the dishes.,1024,417.1497802734375,164.47215270996094
"<|endoftext|>But nice talk isn't enough, says Orbuch.",1024,263.3171081542969,72.74642181396484
<|endoftext|>It also matters what you talk about.,1024,158.7364044189453,244.1934051513672
"<|endoftext|>""Most couples think they're communicating with one another, but what they're really talking about is what I call ‘maintaining the household,'"" she says, or detailing to-do lists and divvying up chores.",1024,132.28790283203125,66.7886962890625
"<|endoftext|>The happiest couples also share their hopes, dreams and fears.",1024,303.3119201660156,50.51918029785156
"<|endoftext|>""They're spending time getting to know one another,"" Orbuch says.",1024,88.00486755371094,14.825347900390625
"<|endoftext|>Gottman calls this ""the existential area.""",1024,525.8919067382812,85.70281982421875
"<|endoftext|>Conversing about ""who are we, what's our mission and what's our legacy"" creates shared meaning and purpose in the relationship, he says.",1024,118.25613403320312,57.34406661987305
<|endoftext|>Celebrate good times.,1024,1959.3311767578125,263.1595764160156
<|endoftext|>Other research suggests that supporting a spouse when times are good might go further than doing so when life goes sour.,1024,645.4734497070312,78.24371337890625
"<|endoftext|>In a 2012 paper in the , Shelly Gable, PhD, of the University of California, Santa Barbara, and colleagues found that participants who felt supported by a partner during a positive event, such as receiving a high rating at work, felt better about themselves and about their relationships.",1024,111.0058364868164,35.17031478881836
<|endoftext|>But feeling supported during negative events was inconsistently — and sometimes even negatively — linked to similar good feelings.,1024,660.5677490234375,181.68394470214844
<|endoftext|>The researchers explain that finding by comparing it to a fire alarm: Testing the alarm to find it works makes you happier and more satisfied than discovering it works because there is a fire.,1024,225.05496215820312,151.41981506347656
"<|endoftext|>At that point, the distress of the fire distracts from the appreciation of the alarm.",1024,122.02616119384766,78.14446258544922
<|endoftext|>Take risks.,1024,1729.2208251953125,103.55865478515625
"<|endoftext|>Few factors undermine a relationship more than boredom, says Orbuch.",1024,347.28948974609375,98.56322479248047
"<|endoftext|>In the Early Years of Marriage Project, she and her colleagues, including Aron, found that couples reporting boredom in the seventh year of marriage were significantly less likely to be satisfied with the relationship by their 16th anniversary (, 2009).",1024,123.49324035644531,27.03531265258789
"<|endoftext|>Growing used to your partner is natural, but it's a process that can be slowed down, says Sonja Lyubomirsky, PhD, a social psychologist at the University of California, Riverside, and author of the 2013 book ""The Myths of Happiness.""",1024,81.49419403076172,36.116851806640625
"<|endoftext|>Her theory of hedonic adaptation holds that people are wired to become accustomed to positive changes in their lives, whether that change is a fresh outfit, a new job or a wedding band.",1024,244.68983459472656,72.27693939208984
"<|endoftext|>""The positive emotions we get from the change get less and less frequent each time,"" she says.",1024,195.94778442382812,24.368270874023438
"<|endoftext|>""So the question is, how do you thwart that process?",1024,149.17453002929688,34.58433151245117
"<|endoftext|>How do you reduce it?""",1024,203.6194305419922,9.537581443786621
"<|endoftext|>Psychologists say the answer can be summed up in three words: novelty, variety and surprise.",1024,111.81236267089844,33.5616455078125
"<|endoftext|>By trying new and exciting activities together, couples can rekindle feelings similar to ones they once had, Lyubomirsky says.",1024,260.561279296875,77.3169174194336
"<|endoftext|>The technique supports what Aron showed in a 1993 study: that spouses were more satisfied with their relationships when they were told to go on more exciting dates, such as hiking or going to parties.",1024,243.3077392578125,60.952972412109375
<|endoftext|>Those who succumbed to the safer movie-rental routine didn't reap the same benefits.,1024,402.5425720214844,178.68194580078125
"<|endoftext|>""If you open yourself up to new opportunities and potential surprises with your partner, then that can slow down adaptation,"" says Lyubomirsky.",1024,141.76242065429688,35.36307144165039
<|endoftext|>Know that love's not enough.,1024,550.0811157226562,61.19708251953125
"<|endoftext|>Perhaps the most important lesson relationship research has taught us is that marriage, like any other commitment, takes conscious effort to preserve, says Nicholas Kirsch, PhD, a couples therapist in Bethesda, Md.",1024,693.3823852539062,268.9295654296875
"<|endoftext|>""So many people do lifelong training in so many things — if you're a golf enthusiast you go to the driving range a couple times a week.",1024,175.44949340820312,60.351619720458984
"<|endoftext|>If you're a lawyer, you take continuing education.",1024,198.2386474609375,32.66133499145508
<|endoftext|>If you're an artist you take workshops.,1024,459.0867004394531,79.96418762207031
"<|endoftext|>And somehow, there's this belief that we don't have to work at learning how to be a couple, it should just come naturally,"" he says.",1024,99.914306640625,26.753076553344727
"<|endoftext|>""That, to me, is just very backwards.""",1024,93.12699890136719,43.405067443847656
"<|endoftext|>And the earlier you acquire the tools to maintain a relationship, the better, adds Gottman, who estimates that newlyweds who engage in his programs are three times more likely to succeed than those who wait until they need an intervention.",1024,135.0037384033203,51.60774230957031
"<|endoftext|>""What makes love last is cherishing your partner and feeling lucky that you have this person in your life,"" he says.",1024,204.94712829589844,35.66864776611328
"<|endoftext|>""That act of cherishing is something that some couples build.""",1024,493.8431701660156,87.93339538574219
