target_sent,context_len_uninterr,PPL_base,PPL_w_context_uninterr
0,0,0,0
"<|endoftext|>By looking at how the Early Years of Marriage Project participants rated their marital happiness over time, she and her colleagues found couples tended to fit into two groups: those whose happiness started high and stayed that way, and those whose contentment started medium or low and got worse (Research in Human Development, 2012).",1024,153.8319091796875,39.32768249511719
"<|endoftext|>Still, many happy honeymooners go on to divorce years later.",1024,189.9171142578125,40.465110778808594
"<|endoftext|>Fortunately, psychologists are finding that many ways to strengthen a relationship's odds of survival are surprisingly simple.",1024,278.36041259765625,58.402183532714844
"<|endoftext|>""You don't have to buy that $10,000 trip"" to keep your partner satisfied, says Orbuch.",1024,98.87541198730469,36.61040496826172
<|endoftext|>What does work?,1024,496.3512878417969,96.38107299804688
<|endoftext|>According to the latest research:,1024,132.70620727539062,30.228179931640625
<|endoftext|>Know that a little goes a long way.,1024,141.7892608642578,94.16600036621094
"<|endoftext|>In the Early Years of Marriage Project, Orbuch found that three-fourths of the happy couples reported that their spouses made them feel cared for or special often, while less than half of the unhappy couples reported the same.",1024,106.47742462158203,20.403676986694336
"<|endoftext|>""Doing or saying small things frequently to make your partner feel special, cared for and loved … is very predictive of staying together, being happy and [preventing] divorce,"" she says.",1024,329.27825927734375,81.46446990966797
"<|endoftext|>These ""positive affirmations"" can be as simple as tucking a nice note in a spouse's wallet or giving a shoulder rub after a long day at work, she adds.",1024,217.14361572265625,86.00630187988281
"<|endoftext|>Men seem to need these affirmations most, Orbuch's analysis suggests.",1024,806.341796875,115.89836883544922
<|endoftext|>Men who didn't feel affirmed by their wives were twice as likely to divorce as those did.,1024,228.59439086914062,31.396867752075195
<|endoftext|>The same effect didn't hold true for women.,1024,149.36000061035156,42.272159576416016
<|endoftext|>Orbuch postulates that's because women are more likely to receive such affirmations from others — a hug from a friend or a compliment from a stranger in line at the deli.,1024,236.0414276123047,70.28636169433594
"<|endoftext|>""Men don't get it from other people in their lives so they especially need it from their female partners or wives,"" she says.",1024,82.7543716430664,27.373315811157227
<|endoftext|>Fight nice.,1024,5137.5009765625,21447.94140625
"<|endoftext|>John Gottman, PhD, founder of the Gottman Institute and the University of Washington's Love Lab, says that 69 percent of marital conflict never gets resolved.",1024,113.92940521240234,34.4182243347168
<|endoftext|>But research shows it's how couples handle those inevitable sore spots that matters.,1024,2007.7330322265625,453.0340270996094
"<|endoftext|>""The people who have stable, happy relationships are much gentler with one another than people who have unhappy relationships or break up,"" says Gottman, who's known for his ability to predict which newlyweds will divorce with more than 90 percent accuracy by observing how they communicate (, 1992).",1024,113.09725189208984,37.17472839355469
"<|endoftext|>""They're kinder, they're more considerate, they soften the way they raise a complaint.""",1024,127.56841278076172,72.03626251220703
"<|endoftext|>More recently, UCLA's Lavner led another study reevaluating how a couple's fighting style affected their marriages.",1024,389.57257080078125,62.0555419921875
<|endoftext|>He looked at data from 136 couples over the 10 years since their weddings.,1024,439.20703125,53.18641662597656
"<|endoftext|>After a decade, the most striking difference between the couples who had divorced and the ones who stayed together was how they had handled conflict during their first year of marriage.",1024,53.98756408691406,15.535820007324219
<|endoftext|>The couples who as newlyweds had interacted with anger and pessimism when discussing difficult relationship issues were more likely to be divorced 10 years later.,1024,254.75694274902344,73.47947692871094
"<|endoftext|>Couples' communication patterns proved to be more predictive of divorce than their reported levels of commitment, personality assessments and stress (, 2012).",1024,481.4007568359375,55.33717346191406
"<|endoftext|>In the Early Years of Marriage Project, Orbuch also found that good communication set the happiest of couples apart from the less blissful.",1024,449.7582702636719,47.14460372924805
"<|endoftext|>Partners who reported patterns of destructive behavior when dealing with conflict in the first year of marriage, for example, were more likely to divorce years later (, 2010).",1024,85.03182220458984,20.812824249267578
<|endoftext|>Talk about more than the dishes.,1024,465.0931396484375,143.3303680419922
"<|endoftext|>But nice talk isn't enough, says Orbuch.",1024,233.5112762451172,78.084228515625
<|endoftext|>It also matters what you talk about.,1024,154.01914978027344,161.0001983642578
"<|endoftext|>""Most couples think they're communicating with one another, but what they're really talking about is what I call ‘maintaining the household,'"" she says, or detailing to-do lists and divvying up chores.",1024,123.25615692138672,60.20537185668945
"<|endoftext|>The happiest couples also share their hopes, dreams and fears.",1024,307.4696350097656,69.31562805175781
"<|endoftext|>""They're spending time getting to know one another,"" Orbuch says.",1024,87.02650451660156,13.946171760559082
"<|endoftext|>Gottman calls this ""the existential area.""",1024,516.5062866210938,87.96131896972656
"<|endoftext|>Conversing about ""who are we, what's our mission and what's our legacy"" creates shared meaning and purpose in the relationship, he says.",1024,115.6514892578125,55.52195358276367
<|endoftext|>Celebrate good times.,1024,2306.87158203125,274.0794677734375
<|endoftext|>Other research suggests that supporting a spouse when times are good might go further than doing so when life goes sour.,1024,632.1511840820312,113.50948333740234
"<|endoftext|>In a 2012 paper in the , Shelly Gable, PhD, of the University of California, Santa Barbara, and colleagues found that participants who felt supported by a partner during a positive event, such as receiving a high rating at work, felt better about themselves and about their relationships.",1024,108.89897155761719,38.272605895996094
<|endoftext|>But feeling supported during negative events was inconsistently — and sometimes even negatively — linked to similar good feelings.,1024,674.0833740234375,260.9346618652344
<|endoftext|>The researchers explain that finding by comparing it to a fire alarm: Testing the alarm to find it works makes you happier and more satisfied than discovering it works because there is a fire.,1024,226.22708129882812,146.78933715820312
"<|endoftext|>At that point, the distress of the fire distracts from the appreciation of the alarm.",1024,105.86197662353516,69.87570190429688
<|endoftext|>Take risks.,1024,1696.9759521484375,186.9598846435547
"<|endoftext|>Few factors undermine a relationship more than boredom, says Orbuch.",1024,321.7695617675781,63.22340774536133
"<|endoftext|>In the Early Years of Marriage Project, she and her colleagues, including Aron, found that couples reporting boredom in the seventh year of marriage were significantly less likely to be satisfied with the relationship by their 16th anniversary (, 2009).",1024,129.37464904785156,24.299081802368164
"<|endoftext|>Growing used to your partner is natural, but it's a process that can be slowed down, says Sonja Lyubomirsky, PhD, a social psychologist at the University of California, Riverside, and author of the 2013 book ""The Myths of Happiness.""",1024,78.92584991455078,32.1497802734375
"<|endoftext|>Her theory of hedonic adaptation holds that people are wired to become accustomed to positive changes in their lives, whether that change is a fresh outfit, a new job or a wedding band.",1024,236.54937744140625,69.3608627319336
"<|endoftext|>""The positive emotions we get from the change get less and less frequent each time,"" she says.",1024,175.7239532470703,25.285511016845703
"<|endoftext|>""So the question is, how do you thwart that process?",1024,129.80502319335938,30.067562103271484
"<|endoftext|>How do you reduce it?""",1024,205.33555603027344,8.993584632873535
"<|endoftext|>Psychologists say the answer can be summed up in three words: novelty, variety and surprise.",1024,105.94326782226562,32.50910186767578
"<|endoftext|>By trying new and exciting activities together, couples can rekindle feelings similar to ones they once had, Lyubomirsky says.",1024,247.05020141601562,61.22647476196289
"<|endoftext|>The technique supports what Aron showed in a 1993 study: that spouses were more satisfied with their relationships when they were told to go on more exciting dates, such as hiking or going to parties.",1024,228.3964080810547,53.27421188354492
<|endoftext|>Those who succumbed to the safer movie-rental routine didn't reap the same benefits.,1024,400.5393981933594,161.0792999267578
"<|endoftext|>""If you open yourself up to new opportunities and potential surprises with your partner, then that can slow down adaptation,"" says Lyubomirsky.",1024,148.8898468017578,36.56521987915039
<|endoftext|>Know that love's not enough.,1024,629.4645385742188,39.71935272216797
"<|endoftext|>Perhaps the most important lesson relationship research has taught us is that marriage, like any other commitment, takes conscious effort to preserve, says Nicholas Kirsch, PhD, a couples therapist in Bethesda, Md.",1024,682.1323852539062,240.32777404785156
"<|endoftext|>""So many people do lifelong training in so many things — if you're a golf enthusiast you go to the driving range a couple times a week.",1024,170.32041931152344,64.25343322753906
"<|endoftext|>If you're a lawyer, you take continuing education.",1024,199.0352325439453,34.0035285949707
<|endoftext|>If you're an artist you take workshops.,1024,505.0639953613281,70.29708862304688
"<|endoftext|>And somehow, there's this belief that we don't have to work at learning how to be a couple, it should just come naturally,"" he says.",1024,98.38272857666016,28.428531646728516
"<|endoftext|>""That, to me, is just very backwards.""",1024,90.12097930908203,46.00062561035156
"<|endoftext|>And the earlier you acquire the tools to maintain a relationship, the better, adds Gottman, who estimates that newlyweds who engage in his programs are three times more likely to succeed than those who wait until they need an intervention.",1024,133.83387756347656,54.425682067871094
"<|endoftext|>""What makes love last is cherishing your partner and feeling lucky that you have this person in your life,"" he says.",1024,191.78726196289062,36.488502502441406
"<|endoftext|>""That act of cherishing is something that some couples build.""",1024,502.2265625,94.19950103759766
